=== BOOT ===
[APP: synthui_led_button_test] [VER: v1] [BUILD: Sep 19 2026 09:31:36]
SYNTHUI_LED_BUTTON_BEGIN
PANEL_OK
led_button_scene=16 grid=4x4
LVGL_FLUSHED=PASS
LVGL_BYTES=3686400
led_button_crc=0xD474F06D
led_button_delta_crc=0x463C3371
led_button_fresh_crc=0x463C3371
led_button_delta_eq=PASS
led_button_damage max=6640 total=199924 steps=64 tail=6
led_button_damage_op lit=1450 press=6640 cue=900 color=1450
led_button_tasks_op lit=10 press=12 cue=23 color=10
led_button_vsync flips=73 isrs=73 timeouts=0
crc_done
PASS: SynthUI led_button render verified
led_button_fps frames=64 mfps_med=20238 us_med=49411 us_min=13381 us_max=220835
led_button_transition i=0 us=168559 sync_us=954 render_us=167093 wait_us=0 px=921600 sync_px=0 ev=52 inv=1 full=1 ticks=2
led_button_transition i=1 us=415923 sync_us=407256 render_us=8622 wait_us=0 px=6552 sync_px=921600 ev=8 inv=8 full=0 ticks=1
led_button_frame i=0 us=91153 sync_us=1586 render_us=89417 wait_us=0 px=22652 sync_px=6552 ev=27 inv=23 full=0 ticks=2
led_button_frame i=1 us=143940 sync_us=20037 render_us=123822 wait_us=7741 px=6552 sync_px=22652 ev=8 inv=8 full=0 ticks=1
led_button_frame i=2 us=23823 sync_us=1421 render_us=22362 wait_us=0 px=6552 sync_px=6552 ev=8 inv=8 full=0 ticks=1
led_button_frame i=3 us=121543 sync_us=11826 render_us=109597 wait_us=0 px=24348 sync_px=6552 ev=26 inv=22 full=0 ticks=2
led_button_frame i=4 us=38393 sync_us=15104 render_us=23205 wait_us=2850 px=6552 sync_px=24348 ev=8 inv=8 full=0 ticks=1
led_button_frame i=5 us=18469 sync_us=3433 render_us=14958 wait_us=1268 px=3724 sync_px=6552 ev=8 inv=8 full=0 ticks=1
led_button_frame i=6 us=90210 sync_us=3849 render_us=86214 wait_us=0 px=24568 sync_px=3724 ev=27 inv=23 full=0 ticks=2
led_button_frame i=7 us=51279 sync_us=15073 render_us=36054 wait_us=5720 px=9428 sync_px=24568 ev=8 inv=8 full=0 ticks=1
led_button_frame i=8 us=25824 sync_us=9565 render_us=15688 wait_us=0 px=5580 sync_px=9428 ev=8 inv=8 full=0 ticks=1
led_button_frame i=9 us=72524 sync_us=1334 render_us=71087 wait_us=0 px=22652 sync_px=5580 ev=27 inv=23 full=0 ticks=2
led_button_frame i=10 us=43078 sync_us=22759 render_us=20241 wait_us=8869 px=6552 sync_px=22652 ev=8 inv=8 full=0 ticks=1
led_button_frame i=11 us=29818 sync_us=6339 render_us=23383 wait_us=4384 px=6552 sync_px=6552 ev=8 inv=8 full=0 ticks=1
led_button_frame i=12 us=49930 sync_us=3308 render_us=46545 wait_us=0 px=21072 sync_px=6552 ev=18 inv=18 full=0 ticks=1
led_button_frame i=13 us=31043 sync_us=15744 render_us=15186 wait_us=6603 px=6552 sync_px=21072 ev=8 inv=8 full=0 ticks=1
led_button_frame i=14 us=17047 sync_us=2085 render_us=14886 wait_us=0 px=6552 sync_px=6552 ev=8 inv=8 full=0 ticks=1
led_button_frame i=15 us=58632 sync_us=1817 render_us=56656 wait_us=0 px=26344 sync_px=6552 ev=27 inv=23 full=0 ticks=2
led_button_frame i=16 us=27777 sync_us=13949 render_us=13717 wait_us=3545 px=6552 sync_px=26344 ev=8 inv=8 full=0 ticks=1
led_button_frame i=17 us=19834 sync_us=2012 render_us=17654 wait_us=0 px=6552 sync_px=6552 ev=8 inv=8 full=0 ticks=1
led_button_frame i=18 us=83927 sync_us=1638 render_us=82185 wait_us=0 px=17028 sync_px=6552 ev=27 inv=23 full=0 ticks=2
led_button_frame i=19 us=155069 sync_us=31279 render_us=122701 wait_us=13722 px=7604 sync_px=17028 ev=8 inv=8 full=0 ticks=1
led_button_frame i=20 us=34301 sync_us=3985 render_us=30215 wait_us=3386 px=9428 sync_px=7604 ev=8 inv=8 full=0 ticks=1
led_button_frame i=21 us=22491 sync_us=4846 render_us=17522 wait_us=0 px=5580 sync_px=9428 ev=8 inv=8 full=0 ticks=1
led_button_frame i=22 us=220835 sync_us=3966 render_us=216706 wait_us=0 px=24348 sync_px=5580 ev=26 inv=22 full=0 ticks=2
led_button_frame i=23 us=72911 sync_us=35027 render_us=37681 wait_us=7513 px=6552 sync_px=24348 ev=8 inv=8 full=0 ticks=1
